activity_subset,percentile,value,strategy,strategyLabel,strategyGroup,strategyType
NA,0.42,8.068877108,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.43,8.301938845,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.44,8.528003329,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.45,8.756458532,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.46,9.009825673,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.47,9.284211175,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.48,9.598415434,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.49,9.936893848,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.5,10.33630169,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.51,10.79708458,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.52,11.4412789,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.53,12.3051383,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.54,13.51904254,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.55,15.14797856,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.56,16.74126227,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.57,18.2323838,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.58,19.666918,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.59,20.97486234,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.6,22.15707063,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.61,23.41453456,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.62,24.59950541,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.63,25.78958381,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.64,26.9831405,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.65,28.08534357,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.66,29.21820931,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.67,30.34830838,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.68,31.48120439,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.69,32.61154368,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.7,33.69938171,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.71,34.80397273,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.72,35.92075981,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.73,37.13280658,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.74,38.29040169,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.75,39.46942532,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.76,40.67092049,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.77,41.96306617,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.78,43.21378501,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.79,44.4863695,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.8,45.79509593,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.81,47.04848976,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.82,48.3657503,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.83,49.71119832,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.84,51.04839657,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.85,52.43781949,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.86,53.89441745,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.87,55.31543379,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.88,56.80795614,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.89,58.46331979,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.9,60.07942689,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.91,61.7598997,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.92,63.63525973,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.93,65.65011001,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.94,67.88134109,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.95,70.52236137,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.96,73.63258111,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.97,77.26703459,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.98,82.15508312,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.99,88.83348781,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,1,99.99510738,alcohol_partially_attributable-acute,Alcohol related admissions (acute conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0,8.81111395498735e-05,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.01,0.33135504,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.02,0.611648808,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.03,0.854864206,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.04,1.072933393,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.05,1.273386212,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.06,1.466076921,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.07,1.635092012,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.08,1.800807877,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.09,1.953532056,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.1,2.098036143,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.11,2.244623652,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.12,2.37498352,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.13,2.511511126,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.14,2.637270829,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.15,2.763821749,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.16,2.880231783,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.17,2.999165546,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.18,3.118060637,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.19,3.23176862,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.2,3.346326481,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.21,3.456220503,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.22,3.570208846,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.23,3.685706062,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.24,3.79909143,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.25,3.911380194,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.26,4.025068238,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.27,4.14442998,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.28,4.263481051,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.29,4.3822104,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.3,4.511428993,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.31,4.633920427,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.32,4.77315427,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.33,4.915645766,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.34,5.056421283,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.35,5.203067721,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.36,5.364242407,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.37,5.534965811,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.38,5.724311838,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.39,5.925323777,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.4,6.154654968,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.41,6.40592694,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.42,6.705218945,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.43,7.043488899,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.44,7.449182997,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.45,7.903181648,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.46,8.375564306,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.47,8.900578032,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.48,9.456939311,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.49,10.03035943,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.5,10.6591733,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.51,11.28943008,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.52,12.01079432,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.53,12.73563875,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.54,13.51596427,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.55,14.32186427,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.56,15.15684827,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.57,16.0026594,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.58,16.90116689,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.59,17.84157543,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.6,18.72343331,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.61,19.56309215,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.62,20.37616329,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.63,21.18865108,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.64,21.94071092,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.65,22.64335124,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.66,23.35402246,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.67,24.02953788,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.68,24.70705434,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.69,25.37449497,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.7,25.99827798,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.71,26.60410009,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.72,27.22832141,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.73,27.83455639,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.74,28.45660511,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.75,29.05938351,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
NA,0.76,29.64731623,alcohol_partially_attributable-chronic,Alcohol related admissions (chronic conditions - partially attributable),Hospital activity amenable to public health interventions,inpatient admission avoidance
